pt_col1,pt_col2
Arsenical keratosis,Arsenical keratosis
Arterectomy with graft replacement,Arterectomy with graft replacement
Arterial aneurysm repair,Arterial aneurysm repair
Arterial catheterisation,Arterial catheterisation
Arterial catheterisation abnormal,Arterial catheterisation abnormal
Arterial catheterisation normal,Arterial catheterisation normal
Arterial injury,Arterial injury
Arterial ligation,Arterial ligation
Arterial rupture,Arterial rupture
Arterial spasm,Arterial spasm
Arterial thrombosis,Arterial thrombosis
Arteriovenous fistula operation,Arteriovenous fistula operation
Arteriovenous fistula thrombosis,Arteriovenous fistula thrombosis
Arteriovenous malformation,Arteriovenous malformation
Arteriogram carotid,Arteriogram carotid
Arteriogram carotid abnormal,Arteriogram carotid abnormal
Arteriogram carotid normal,Arteriogram carotid normal
Arteriogram coronary abnormal,Arteriogram coronary abnormal
Arteriogram coronary normal,Arteriogram coronary normal
Arteriogram renal,Arteriogram renal
Arteriogram renal abnormal,Arteriogram renal abnormal
Arteriogram renal normal,Arteriogram renal normal
Arteriosclerosis,Arteriosclerosis
Arteriosclerosis coronary artery,Arteriosclerosis coronary artery
Arteriosclerosis Moenckeberg-type,Arteriosclerosis Moenckeberg-type
Arteriosclerotic gangrene,Arteriosclerotic gangrene
Arteriospasm coronary,Arteriospasm coronary
Arteriovenous fistula,Arteriovenous fistula
Arteritis,Arteritis
Arteritis coronary,Arteritis coronary
Arthralgia,Arthralgia
Arthritis,Arthritis
Arthritis climacteric,Arthritis climacteric
Arthritis enteropathic,Arthritis enteropathic
Arthritis gonococcal,Arthritis gonococcal
Arthritis reactive,Arthritis reactive
Arthritis rubella,Arthritis rubella
Arthritis salmonella,Arthritis salmonella
Arthritis viral,Arthritis viral
Arthrogram,Arthrogram
Arthrogram abnormal,Arthrogram abnormal
Arthrogram normal,Arthrogram normal
Arthropathy,Arthropathy
Arthropod bite,Arthropod bite
Arthropod scratch,Arthropod scratch
Arthropod sting,Arthropod sting
Arthroscopy,Arthroscopy
Arthroscopy abnormal,Arthroscopy abnormal
Arthroscopy normal,Arthroscopy normal
Articular calcification,Articular calcification
Articular disc disorder,Articular disc disorder
Artificial menopause,Artificial menopause
Artificial rupture of membranes,Artificial rupture of membranes
Asbestosis,Asbestosis
Ascariasis,Ascariasis
Ascites,Ascites
Asocial behaviour,Asocial behaviour
Aspartate aminotransferase,Aspartate aminotransferase
Aspartate aminotransferase abnormal,Aspartate aminotransferase abnormal
Aspartate aminotransferase decreased,Aspartate aminotransferase decreased
Aspartate aminotransferase increased,Aspartate aminotransferase increased
Aspartate aminotransferase normal,Aspartate aminotransferase normal
Aspergilloma,Aspergilloma
Aspergillosis oral,Aspergillosis oral
Aspermia,Aspermia
Asphyxia,Asphyxia
Aspiration,Aspiration
Aspiration bone marrow,Aspiration bone marrow
Aspiration bone marrow abnormal,Aspiration bone marrow abnormal
Aspiration bone marrow normal,Aspiration bone marrow normal
Aspiration bursa,Aspiration bursa
Aspiration bursa abnormal,Aspiration bursa abnormal
Aspiration bursa normal,Aspiration bursa normal
Aspiration epididymal cyst,Aspiration epididymal cyst
Aspiration epididymal cyst abnormal,Aspiration epididymal cyst abnormal
Aspiration epididymal cyst normal,Aspiration epididymal cyst normal
Aspiration joint,Aspiration joint
Aspiration joint abnormal,Aspiration joint abnormal
Aspiration joint normal,Aspiration joint normal
Aspiration pleural cavity,Aspiration pleural cavity
Aspiration pleural cavity abnormal,Aspiration pleural cavity abnormal
Aspiration pleural cavity normal,Aspiration pleural cavity normal
Aspiration spermatocele,Aspiration spermatocele
Aspiration spermatocele abnormal,Aspiration spermatocele abnormal
Aspiration spermatocele normal,Aspiration spermatocele normal
Aspiration tracheal abnormal,Aspiration tracheal abnormal
Aspiration tracheal normal,Aspiration tracheal normal
Assisted fertilisation,Assisted fertilisation
Asterixis,Asterixis
Asthenia,Asthenia
Asthenopia,Asthenopia
Asthma,Asthma
Asthma exercise induced,Asthma exercise induced
Asthma late onset,Asthma late onset
Astigmatism,Astigmatism
Astrocytoma,Astrocytoma
Asymptomatic HIV infection,Asymptomatic HIV infection
Ataxia,Ataxia
Ataxia telangiectasia,Ataxia telangiectasia
Atelectasis,Atelectasis
Atelectasis neonatal,Atelectasis neonatal
Athetosis,Athetosis
Atonic seizures,Atonic seizures
Atonic urinary bladder,Atonic urinary bladder
Atopy,Atopy
Atrial fibrillation,Atrial fibrillation
Atrial flutter,Atrial flutter
Atrial septal defect,Atrial septal defect
Atrial septal defect acquired,Atrial septal defect acquired
Atrial septal defect repair,Atrial septal defect repair
Atrial tachycardia,Atrial tachycardia
Atrioventricular block,Atrioventricular block
Atrioventricular block complete,Atrioventricular block complete
Atrioventricular block first degree,Atrioventricular block first degree
Atrioventricular block second degree,Atrioventricular block second degree
Atrophic vulvovaginitis,Atrophic vulvovaginitis
Atrophy,Atrophy
Attention-seeking behaviour,Attention-seeking behaviour
Atypical attention deficit syndrome,Atypical attention deficit syndrome
Atypical mycobacterial lymphadenitis,Atypical mycobacterial lymphadenitis
Atypical pneumonia,Atypical pneumonia
Audiogram,Audiogram
Audiogram abnormal,Audiogram abnormal
Audiogram normal,Audiogram normal
Auditory disorder,Auditory disorder
Auditory recruitment,Auditory recruitment
Aura,Aura
Aural polyp,Aural polyp
Auricular haematoma,Auricular haematoma
Auricular swelling,Auricular swelling
Autoimmune hepatitis,Autoimmune hepatitis
Autologous bone marrow transplantation therapy,Autologous bone marrow transplantation therapy
Automatism,Automatism
Automatism epileptic,Automatism epileptic
"Automatism, command","Automatism, command"
Autonomic nervous system imbalance,Autonomic nervous system imbalance
Autotransfusion,Autotransfusion
Avoidant personality disorder,Avoidant personality disorder
Axillary nerve injury,Axillary nerve injury
Axillary vein thrombosis,Axillary vein thrombosis
Axonal neuropathy,Axonal neuropathy
Azoospermia,Azoospermia
Azotaemia,Azotaemia
B precursor type acute leukaemia,B precursor type acute leukaemia
B-cell lymphoma,B-cell lymphoma
B-cell lymphoma recurrent,B-cell lymphoma recurrent
B-cell lymphoma refractory,B-cell lymphoma refractory
B-cell lymphoma stage I,B-cell lymphoma stage I
B-cell lymphoma stage II,B-cell lymphoma stage II
B-cell lymphoma stage III,B-cell lymphoma stage III
B-cell lymphoma stage IV,B-cell lymphoma stage IV
B-cell small lymphocytic lymphoma,B-cell small lymphocytic lymphoma
B-cell small lymphocytic lymphoma recurrent,B-cell small lymphocytic lymphoma recurrent
B-cell small lymphocytic lymphoma refractory,B-cell small lymphocytic lymphoma refractory
B-cell small lymphocytic lymphoma stage I,B-cell small lymphocytic lymphoma stage I
B-cell small lymphocytic lymphoma stage II,B-cell small lymphocytic lymphoma stage II
B-cell small lymphocytic lymphoma stage III,B-cell small lymphocytic lymphoma stage III
B-cell small lymphocytic lymphoma stage IV,B-cell small lymphocytic lymphoma stage IV
B-cell type acute leukaemia,B-cell type acute leukaemia
B-cell unclassifiable lymphoma high grade,B-cell unclassifiable lymphoma high grade
B-cell unclassifiable lymphoma low grade,B-cell unclassifiable lymphoma low grade
Babesiosis,Babesiosis
Bach's flower remedy,Bach's flower remedy
Bacillary angiomatosis,Bacillary angiomatosis
Back disorder,Back disorder
Back injury,Back injury
Back pain,Back pain
Bacteraemia,Bacteraemia
Bacterial abscess central nervous system,Bacterial abscess central nervous system
Bacterial diarrhoea,Bacterial diarrhoea
Bacterial disease carrier,Bacterial disease carrier
Bacterial food poisoning,Bacterial food poisoning
Bacterial pericarditis,Bacterial pericarditis
Bacterial toxaemia,Bacterial toxaemia
Bacterial vaginosis,Bacterial vaginosis
Bacteriuria,Bacteriuria
Bacteriuria in pregnancy,Bacteriuria in pregnancy
Balanitis candida,Balanitis candida
Balanoposthitis,Balanoposthitis
Balantidiasis,Balantidiasis
Bankruptcy,Bankruptcy
Barium double contrast,Barium double contrast
Barium enema,Barium enema
Barium enema abnormal,Barium enema abnormal
Barium enema normal,Barium enema normal
Barium meal,Barium meal
Barium meal abnormal,Barium meal abnormal
Barium meal and follow through,Barium meal and follow through
Barium meal and follow through abnormal,Barium meal and follow through abnormal
Barium meal and follow through normal,Barium meal and follow through normal
Barium meal normal,Barium meal normal
Barium swallow,Barium swallow
Barium swallow abnormal,Barium swallow abnormal
Barium swallow normal,Barium swallow normal
Barotitis media,Barotitis media
Barrel chest,Barrel chest
Barrett's oesophagus,Barrett's oesophagus
Bartholin's abscess,Bartholin's abscess
Bartholin's cyst,Bartholin's cyst
Bartholin's cyst removal,Bartholin's cyst removal
Bartholinitis,Bartholinitis
Bartonellosis,Bartonellosis
Basal cell carcinoma,Basal cell carcinoma
Basal ganglion degeneration,Basal ganglion degeneration
Basedow's disease,Basedow's disease
Basilar artery stenosis,Basilar artery stenosis
Basophil count decreased,Basophil count decreased
Basophil count increased,Basophil count increased
Basophil count normal,Basophil count normal
Basophilia,Basophilia
Basosquamous carcinoma,Basosquamous carcinoma
Basosquamous carcinoma of skin,Basosquamous carcinoma of skin
Becker's naevus,Becker's naevus
Bed bug infestation,Bed bug infestation
Behaviour disorder,Behaviour disorder
Behcet's syndrome,Behcet's syndrome
Belligerence,Belligerence
Bence Jones proteinuria,Bence Jones proteinuria
Benign breast lump removal,Benign breast lump removal
Benign breast neoplasm,Benign breast neoplasm
Benign cardiac neoplasm,Benign cardiac neoplasm
Benign duodenal neoplasm,Benign duodenal neoplasm
Benign familial pemphigus,Benign familial pemphigus
Benign gastric neoplasm,Benign gastric neoplasm
Benign hepatic neoplasm,Benign hepatic neoplasm
Benign hydatidiform mole,Benign hydatidiform mole
Benign laryngeal neoplasm,Benign laryngeal neoplasm
Benign lung neoplasm,Benign lung neoplasm
Benign mediastinal neoplasm,Benign mediastinal neoplasm
Benign middle ear neoplasm,Benign middle ear neoplasm
Benign neoplasm of adrenal gland,Benign neoplasm of adrenal gland
Benign neoplasm of bladder,Benign neoplasm of bladder
Benign neoplasm of cervix uteri,Benign neoplasm of cervix uteri
Benign neoplasm of choroid,Benign neoplasm of choroid
Benign neoplasm of conjunctiva,Benign neoplasm of conjunctiva
Benign neoplasm of cornea,Benign neoplasm of cornea
Benign neoplasm of epididymis,Benign neoplasm of epididymis
Benign neoplasm of eye,Benign neoplasm of eye
Benign neoplasm of islets of Langerhans,Benign neoplasm of islets of Langerhans
Benign neoplasm of lacrimal duct,Benign neoplasm of lacrimal duct
Benign neoplasm of lacrimal gland,Benign neoplasm of lacrimal gland
Benign neoplasm of orbit,Benign neoplasm of orbit
Benign neoplasm of pineal gland,Benign neoplasm of pineal gland
Benign neoplasm of prostate,Benign neoplasm of prostate
Benign neoplasm of retina,Benign neoplasm of retina
Benign neoplasm of scrotum,Benign neoplasm of scrotum
Benign neoplasm of skin,Benign neoplasm of skin
Benign neoplasm of spinal cord,Benign neoplasm of spinal cord
Benign neoplasm of testis,Benign neoplasm of testis
Benign neoplasm of thymus,Benign neoplasm of thymus
Benign neoplasm of thyroid gland,Benign neoplasm of thyroid gland
Benign neoplasm of ureter,Benign neoplasm of ureter
Benign neoplasm of urethra,Benign neoplasm of urethra
Benign oesophageal neoplasm,Benign oesophageal neoplasm
Benign ovarian tumour,Benign ovarian tumour
Benign penile neoplasm,Benign penile neoplasm
Benign peritoneal neoplasm,Benign peritoneal neoplasm
Benign pleural mesothelioma,Benign pleural mesothelioma
Benign pleural neoplasm,Benign pleural neoplasm
Benign prostatic hyperplasia,Benign prostatic hyperplasia
Benign salivary gland neoplasm,Benign salivary gland neoplasm
Benign tracheal neoplasm,Benign tracheal neoplasm
Benign vaginal neoplasm,Benign vaginal neoplasm
Benign vulval neoplasm,Benign vulval neoplasm
Bereavement,Bereavement
Berylliosis,Berylliosis
Beta 2 microglobulin decreased,Beta 2 microglobulin decreased
Beta 2 microglobulin increased,Beta 2 microglobulin increased
Beta 2 microglobulin normal,Beta 2 microglobulin normal
Beta 2 microglobulin urine decreased,Beta 2 microglobulin urine decreased
Beta 2 microglobulin urine increased,Beta 2 microglobulin urine increased
Beta 2 microglobulin urine normal,Beta 2 microglobulin urine normal
Beta interferon therapy,Beta interferon therapy
Beta-N-acetyl-D-glucosaminidase,Beta-N-acetyl-D-glucosaminidase
Beta-N-acetyl-D-glucosaminidase abnormal,Beta-N-acetyl-D-glucosaminidase abnormal
Beta-N-acetyl-D-glucosaminidase decreased,Beta-N-acetyl-D-glucosaminidase decreased
Beta-N-acetyl-D-glucosaminidase increased,Beta-N-acetyl-D-glucosaminidase increased
Beta-N-acetyl-D-glucosaminidase normal,Beta-N-acetyl-D-glucosaminidase normal
Bezoar,Bezoar
Bicuspid aortic valve,Bicuspid aortic valve
Bilateral breast buds,Bilateral breast buds
Bile duct adenocarcinoma,Bile duct adenocarcinoma
Bile duct adenosquamous carcinoma,Bile duct adenosquamous carcinoma
Bile duct cancer,Bile duct cancer
Bile duct cancer recurrent,Bile duct cancer recurrent
Bile duct exploration,Bile duct exploration
Bile duct squamous cell carcinoma,Bile duct squamous cell carcinoma
Bile duct stone,Bile duct stone
Biliary cirrhosis,Biliary cirrhosis
Biliary colic,Biliary colic
Biliary fibrosis,Biliary fibrosis
Biliary fistula,Biliary fistula
Biliary neoplasm,Biliary neoplasm
Bilirubin conjugated,Bilirubin conjugated
Bilirubin conjugated increased,Bilirubin conjugated increased
Bilirubin conjugated normal,Bilirubin conjugated normal
Bilirubinuria,Bilirubinuria
Billing's contraceptive method,Billing's contraceptive method
Binge eating,Binge eating
Biopsy,Biopsy
Biopsy abdominal wall,Biopsy abdominal wall
Biopsy abdominal wall abnormal,Biopsy abdominal wall abnormal
Biopsy abdominal wall normal,Biopsy abdominal wall normal
Biopsy adrenal gland,Biopsy adrenal gland
Biopsy adrenal gland abnormal,Biopsy adrenal gland abnormal
Biopsy adrenal gland normal,Biopsy adrenal gland normal
Biopsy anus,Biopsy anus
Biopsy anus abnormal,Biopsy anus abnormal
Biopsy anus normal,Biopsy anus normal
Biopsy bladder,Biopsy bladder
Biopsy bladder abnormal,Biopsy bladder abnormal
Biopsy bladder normal,Biopsy bladder normal
Biopsy bone,Biopsy bone
Biopsy bone abnormal,Biopsy bone abnormal
Biopsy bone marrow,Biopsy bone marrow
Biopsy bone marrow abnormal,Biopsy bone marrow abnormal
Biopsy bone marrow normal,Biopsy bone marrow normal
Biopsy bone normal,Biopsy bone normal
Biopsy brain,Biopsy brain
Biopsy brain abnormal,Biopsy brain abnormal
Biopsy brain normal,Biopsy brain normal
Biopsy breast,Biopsy breast
Biopsy breast abnormal,Biopsy breast abnormal
Biopsy breast normal,Biopsy breast normal
Biopsy bronchus,Biopsy bronchus
Biopsy bronchus abnormal,Biopsy bronchus abnormal
Biopsy bronchus normal,Biopsy bronchus normal
Biopsy cartilage,Biopsy cartilage
Biopsy cartilage abnormal,Biopsy cartilage abnormal
Biopsy cartilage normal,Biopsy cartilage normal
Biopsy cervix,Biopsy cervix
Biopsy cervix abnormal,Biopsy cervix abnormal
Biopsy cervix normal,Biopsy cervix normal
Biopsy colon,Biopsy colon
Biopsy colon abnormal,Biopsy colon abnormal
Biopsy colon normal,Biopsy colon normal
Biopsy conjunctiva,Biopsy conjunctiva
Biopsy conjunctiva abnormal,Biopsy conjunctiva abnormal
Biopsy conjunctiva normal,Biopsy conjunctiva normal
Biopsy cornea,Biopsy cornea
Biopsy cornea abnormal,Biopsy cornea abnormal
Biopsy cornea normal,Biopsy cornea normal
Biopsy endometrium,Biopsy endometrium
Biopsy endometrium abnormal,Biopsy endometrium abnormal
Biopsy endometrium normal,Biopsy endometrium normal
Biopsy epididymis,Biopsy epididymis
Biopsy epididymis abnormal,Biopsy epididymis abnormal
Biopsy epididymis normal,Biopsy epididymis normal
Biopsy heart,Biopsy heart
Biopsy heart abnormal,Biopsy heart abnormal
Biopsy heart normal,Biopsy heart normal
Biopsy kidney,Biopsy kidney
